#{"t_start": 1775473418.6831415, "env_id": "None"}
r,l,t
-43.001208,150,111.242452
-90.466157,150,111.530781
-49.550143,150,112.056177
-47.140886,150,112.3789
-55.639743,150,112.698885
-85.568384,150,113.000918
-56.362462,150,113.288893
-52.538123,150,113.614017
-48.504553,150,113.924577
-48.941199,150,114.212215
-40.831119,150,114.522589
-47.199085,150,114.7958
-30.116971,150,115.130838
-55.427455,150,115.424434
-56.130095,150,115.695031
-34.968905,150,115.983857
-60.187855,150,116.539356
-57.333047,150,116.864411
-48.025898,150,117.205927
-42.555074,150,117.530317
-37.641959,150,117.842618
-42.604741,150,118.164291
-55.316849,150,118.514183
-45.494493,150,128.011942
-34.671155,150,128.340575
-93.758766,150,128.649209
-28.352346,150,128.995405
-37.412722,150,129.326577
-35.446782,150,129.637563
-65.268618,150,129.937328
-49.691233,150,130.507838
-62.638897,150,130.852385
-86.378921,150,131.183798
-61.659336,150,131.51408
-42.726822,150,131.807735
-36.445555,150,132.109747
-41.628404,150,132.414451
-70.083879,150,132.722811
-34.711515,150,133.042686
-58.977237,150,133.370179
-39.998819,150,133.683845
-94.290371,150,134.018251
-33.024389,150,134.357637
-52.888676,150,134.93393
-37.615267,150,135.2664
-50.699347,150,135.595219
-45.510417,150,135.968527
-46.017244,150,136.258036
-67.863344,150,136.580557
-68.410804,150,136.883845
-51.640641,150,137.216016
-80.174514,150,137.521337
-35.675247,150,137.839312
-81.371853,150,138.214419
-52.062959,150,138.522471
-54.605405,150,138.845099
-99.646545,150,139.1506
-42.614571,150,139.723012
-46.60277,150,140.070322
-101.84479,150,140.369897
-39.902893,150,140.662996
